89504-751|Claudino Picoloto
89506-102|Clineu Domingos Berardi
89506-442|Clóvis João Dallazem
89511-345|Clóvis Luiz de Nardi
89504-545|Colômbia
89504-682|Concórdia
89500-380|Contestado
89504-841|Costa e Silva, Presidente
89504-796|Criciúma
89504-679|Criciúma
89511-024|Cristóvão Colombo
89503-085|Cruz e Souza
89509-039|Curitiba
89509-177|Curitiba
89509-180|Curitiba
89509-263|Curitiba
89509-248|Curitiba
89500-079|Curitibanos
89506-108|Daniel Langaro
89503-575|Daniel Lessing
89504-569|Daniel Lessing
89505-003|Daniel Lessing
89506-740|Danilo Manfroi
89506-594|Dante Sabedot
89500-356|Deoclides Pedro Bom
89500-010|Deodoro, Marechal
89504-862|Dilermando Biavatti
89501-202|Dilma Deboni Petry
89510-632|Dilma Deboni Petry
89503-410|Dinamarca
89510-806|Dinarte José Rodrigues
89505-050|Dinês de Jesus Cordeiro Farias Rigo
89509-260|Diney Werner
89503-055|Domingos Figuerôa
89503-480|Domingos Furtado
89509-159|Domingos Gabardi
89509-670|Domingos Giovani Pegoraro
89510-739|Domingos Menin
89506-562|Domingos Pedro Machado
89506-558|Domingos Pivato
89503-027|Domingos Sorgatto
89503-374|Domingos Sorgatto
89507-744|Edgar da Silva Pacheco
89509-081|Edmundo Coelho de Matos
89500-359|Eduardo Bento
89505-068|Eduardo Hartmann
89507-808|Edwiges, Santa
89500-235|Egídio Carpes
89510-644|Egídio Cordeiro
89500-172|Elias Abdalla
89500-347|Elias Biasi
89510-513|Elias Biasi
89510-507|Elias Biasi
89500-767|Elias de Moraes
89507-752|Eloe Henrique Formighieri
89510-623|Elvira Popia Pavelski
89507-528|Emília Gioppo Brasil
89500-115|Emilio Joaquim
89506-648|Emílio Prevedo
89504-596|Equador
89510-809|Ercílio de Lima
89505-038|Eri Dupont, Vereador
89506-015|Ermindo Albino Fontana
89504-853|Ermindo Luiz Setti
89504-560|Erna Inge Keller
89511-245|Ernesto Antonio Zardo
89504-575|Ernesto Barboza Roesch
89500-371|Ernesto Bolson
89500-443|Ernesto Borchate
89500-181|Ernesto Kirschner
89500-217|Ernesto Martello
89506-499|Espírito Santo
89503-402|Estados Unidos
89503-229|Estefano Boiko
89505-020|Estefano João Fabiano
89510-504|Estefano Kimak
89500-344|Estefano Kimak
89507-058|Etelvino Pedrassani
89507-040|Eucalipto
89509-383|Euclides José Padillha
89510-549|Eugênio Busato
89510-854|Eugênio Francisco Paris
89505-065|Eugênio Santin
89500-761|Eusébia Ferreira dos Santos
89511-033|Eutimio Miozzo
89507-567|Evaldo Luiz Fontana
89507-784|Evaldo Luiz Fontana
89504-685|Fahdo Thomé
89504-602|Fahdo Thomé
89504-690|Fahdo Thomé
89503-550|Fahdo Thomé
89510-776|Fausto Machado de Quadros
89503-021|Feijó, Padre
89500-752|Felipe João
89505-053|Felipe José de Paula
89501-402|Felisberto Custódio de Oliveira
89507-522|Fermiano Paes Carneiro
89506-732|Fermina da Conceição Carneiro Ribas
89510-686|Fermino Borges de Carvalho
89507-094|Fernando Badotti
89500-157|Fernando Machado
89500-154|Fernando Machado
89509-377|Fernando Mayer
89501-411|Fernando Turatti
89510-785|Fiorindo Constantini
89510-543|Florêncio Busato
89500-007|Floriano Peixoto, Marechal
89501-199|Floriano Wozny
89504-673|Florianópolis
89504-823|Florianópolis
89511-036|Florindo D'Agostini
89510-540|Fortaleza
89500-416|Fraiburgo
89500-755|Francisco Alonso de Souza
89503-088|Francisco Assis Bejamini
89509-018|Francisco Chaves dos Santos
89509-048|Francisco Corrêa de Mello
89500-500|Francisco de Almeida
89500-028|Francisco de Assis, São
89503-000|Francisco de Assis, São
89500-004|Francisco de Assis, São
89504-613|Francisco de Assis, São
89500-476|Francisco Driessen
89511-250|Francisco Geremia
89511-133|Francisco Lopes de Souza
89506-660|Francisco Menegazzo
89500-434|Francisco Novaski
89507-591|Francisco Pino Garcia
89507-736|Francisco Pino Garcia
89500-238|Francisco Pizzaro
89510-851|Francisco Santi
89507-085|Francisco Schneider
89505-071|Frieda Lessing Kramer
89509-404|Generoso Padilha Moraes
89509-165|Genésio Cruz
